1,1,1
2,1,2
3,1,3
4,2,2
5,3,3
6,4,4
7,5,5
8,6,6
9,7,7
10,8,1
11,9,2
12,10,3
13,11,4
14,12,5
15,13,6
16,14,7
17,15,1
18,16,2
19,17,3
20,18,4
21,19,5
22,20,6
23,21,7
24,22,1
25,23,2
26,24,3
27,25,4
28,26,5
29,27,6
30,28,7
31,29,1
32,30,2
33,31,3
34,32,4
35,33,5
36,34,6
37,35,7
38,36,1
39,37,2
40,38,3
41,39,4
42,40,5
43,41,6
44,42,7
45,43,1
46,44,2
47,45,3
48,46,4
49,47,5
50,48,6
51,49,7
52,50,1
53,51,2
54,52,3
55,53,4
56,54,5
57,55,6
58,56,7
59,57,1
60,58,2
61,59,3
62,60,4
63,61,5
64,62,6
65,63,7
66,64,1
67,65,2
68,66,3
69,67,4
70,68,5
71,69,6
72,70,7
73,71,1
74,72,2
75,73,3
76,74,4
77,75,5
78,76,6
79,77,7
80,78,1
81,79,2
82,80,3
83,81,4
84,82,5
85,83,6
86,84,7
87,85,1
88,86,2
89,87,3
90,88,4
91,89,5
92,90,6
93,91,7
94,92,1
95,93,2
96,94,3
97,95,4
98,96,5
99,97,6
100,98,7
101,99,1
102,2,3
103,2,4
104,3,6
105,3,7
